Waktu_Uji;Gerakan_ARAT;Prediksi_Skor_AI;ax1_mean;ay1_mean;az1_mean;gx1_mean;gy1_mean;gz1_mean;ax2_mean;ay2_mean;az2_mean;gx2_mean;gy2_mean;gz2_mean
2026-06-01 21:55:48;HAND_TO_MOUTH;0;5.195;0.658;8.646;-0.02;0.064;-0.03;1.373;1.475;9.666;-0.016;0.004;-0.038
2026-06-01 21:57:01;HAND_TO_MOUTH;0;-2.977;1.705;9.622;-0.085;0.162;-0.036;-6.594;1.913;7.188;-0.024;0.137;-0.046
2026-06-01 22:00:05;HAND_TO_BACKHEAD;0;-0.589;1.552;8.59;0.002;0.299;-0.003;-4.233;2.371;7.801;0.04;0.196;-0.102
2026-06-01 22:08:13;HAND_TO_MOUTH;0;-0.138;5.754;7.442;0.201;-0.002;0.166;-2.966;2.413;8.804;-0.032;-0.174;0.067
2026-06-01 22:09:10;HAND_TO_TOPHEAD;0;5.543;0.646;8.46;0.012;0.06;-0.011;3.162;1.084;9.254;-0.019;-0.015;-0.012
2026-06-01 22:10:32;CUP;2;1.894;7.588;5.974;-0.138;0.035;0.079;-0.472;-0.19;9.898;-0.108;-0.022;0.01
2026-06-01 22:10:45;CUP;0;1.565;7.846;5.761;-0.123;0.033;0.058;-0.81;0.211;9.956;-0.091;-0.015;-0.001
2026-06-01 22:11:48;RING;0;-6.73;3.146;6.759;-0.524;0.248;0.423;-9.275;0.822;4.066;-0.588;0.08;0.257
2026-06-01 22:22:26;HAND_TO_MOUTH;0;-3.989;8.51;2.956;-0.053;-0.1;0.104;-4.238;0.53;8.901;0.116;-0.055;-0.0
2026-06-01 22:30:47;SMALL_TUBE;2;1.283;6.722;7.492;-0.026;0.023;0.032;-4.114;-1.216;9.333;0.041;-0.059;0.014
2026-06-01 22:38:08;RING;0;-0.944;1.062;8.74;-0.079;0.247;0.284;-6.698;-2.338;6.696;0.066;0.132;0.214
2026-06-01 22:48:23;SMALL_TUBE;0;2.093;4.066;8.193;-0.07;0.052;0.12;-2.411;0.546;9.75;0.03;0.013;0.002
2026-06-03 15:35:50;HAND_TO_MOUTH;0;1.388;3.286;-9.203;0.087;0.014;0.018;8.162;0.943;4.289;-0.039;0.057;0.026
2026-06-03 15:39:27;HAND_TO_BACKHEAD;0;1.518;2.476;9.206;0.06;-0.103;0.053;-1.979;5.948;7.245;-0.004;-0.125;0.092
2026-06-03 15:40:02;HAND_TO_TOPHEAD;0;-0.48;3.57;7.092;-0.304;0.166;-0.128;-1.47;5.602;7.222;0.006;0.076;-0.235
2026-06-03 15:41:26;SMALL_TUBE;0;-1.664;6.484;4.942;0.184;0.157;-0.302;-2.032;7.922;4.488;0.102;-0.001;-0.186
2026-06-11 22:34:25;HAND_TO_MOUTH;0;5.678;-2.672;7.916;-0.02;0.046;-0.001;3.786;-6.203;-6.242;-0.027;-0.002;-0.012
2026-06-11 22:57:36;HAND_TO_MOUTH;0;4.855;-4.04;7.83;-0.02;0.045;-0.002;1.959;-5.266;-7.804;-0.026;-0.001;-0.015
2026-06-11 22:59:41;HAND_TO_MOUTH;0;4.802;-4.089;7.859;-0.021;0.047;-0.001;1.989;-5.163;-7.842;-0.026;-0.002;-0.017
2026-06-11 23:07:10;HAND_TO_MOUTH;0;4.754;-4.062;7.885;-0.022;0.045;-0.002;2.734;-4.653;-7.901;-0.025;-0.002;-0.018
2026-06-12 01:00:48;HAND_TO_MOUTH;0;0.106;0.051;10.168;-0.104;0.104;-0.101;-2.466;4.798;8.178;-0.034;0.036;-0.112
2026-06-12 01:02:18;HAND_TO_BACKHEAD;0;5.605;2.979;7.924;-0.022;0.024;0.0;-2.532;6.866;6.618;-0.019;-0.012;-0.006
2026-06-12 01:04:19;CUP;0;3.784;7.16;4.24;0.054;0.059;-0.221;0.194;4.76;7.375;0.056;0.184;-0.129
2026-06-12 01:05:24;BIG_TUBE;0;0.554;9.262;2.806;-0.021;0.064;-0.166;-4.474;5.791;6.026;0.016;0.138;-0.17
2026-06-12 01:05:53;SMALL_TUBE;0;0.776;9.323;1.562;-0.002;0.06;-0.101;-4.881;6.492;5.501;0.006;0.072;-0.079
2026-06-12 01:23:51;HAND_TO_MOUTH;1;1.494;8.004;5.759;0.06;0.063;0.136;-4.142;6.283;6.328;-0.013;-0.036;0.103
2026-06-12 01:27:10;HAND_TO_BACKHEAD;2;2.879;0.047;9.782;-0.007;0.157;-0.03;-4.304;1.356;9.065;0.04;-0.03;-0.027
2026-06-12 01:31:39;HAND_TO_BACKHEAD;2;-1.17;0.532;9.979;0.026;0.057;-0.009;-6.428;4.466;6.076;0.116;0.011;0.007
2026-06-13 22:31:45;HAND_TO_BACKHEAD;1;-2.724;2.009;9.554;0.038;0.001;0.002;-7.519;2.964;6.12;0.056;-0.027;0.002
2026-06-13 22:36:59;HAND_TO_BACKHEAD;2;1.016;8.799;4.77;0.085;0.062;0.01;-1.503;7.911;5.516;0.022;0.003;-0.04
